FPR,TPR
0.0,0.0
0.0,0.023255813953488372
0.0,0.32558139534883723
0.02702702702702703,0.32558139534883723
0.02702702702702703,0.4418604651162791
0.05405405405405406,0.4418604651162791
0.05405405405405406,0.627906976744186
0.08108108108108109,0.627906976744186
0.08108108108108109,0.6511627906976745
0.10810810810810811,0.6511627906976745
0.10810810810810811,0.6976744186046512
0.13513513513513514,0.6976744186046512
0.13513513513513514,0.7209302325581395
0.1891891891891892,0.7209302325581395
0.1891891891891892,0.7441860465116279
0.21621621621621623,0.7441860465116279
0.21621621621621623,0.8372093023255814
0.3783783783783784,0.8372093023255814
0.3783783783783784,0.8604651162790697
0.40540540540540543,0.8604651162790697
0.40540540540540543,0.9069767441860465
0.4864864864864865,0.9069767441860465
0.4864864864864865,0.9302325581395349
0.6756756756756757,0.9302325581395349
0.6756756756756757,0.9534883720930233
0.7837837837837838,0.9534883720930233
0.7837837837837838,1.0
1.0,1.0
