fold,label,encoding,ml_method,performance
0,signal_label1,3mer,SVM,0.7285739687055477
0,signal_label1,3mer,LR,0.9530583214793742
0,signal_label1,3mer,RF,0.8136557610241821
0,signal_label1,4mer,SVM,0.7721817211948792
0,signal_label1,4mer,LR,1.0
0,signal_label1,4mer,RF,0.8136557610241821
0,signal_label2,3mer,SVM,0.6950000000000001
0,signal_label2,3mer,LR,0.8933333333333333
0,signal_label2,3mer,RF,0.7316666666666667
0,signal_label2,4mer,SVM,0.7183333333333333
0,signal_label2,4mer,LR,0.9566666666666667
0,signal_label2,4mer,RF,0.6066666666666667
0,signal_label3,3mer,SVM,0.6398506600293347
0,signal_label3,3mer,LR,0.7583337037201654
0,signal_label3,3mer,RF,0.5836259389306191
0,signal_label3,4mer,SVM,0.6567625227787901
0,signal_label3,4mer,LR,0.9082737010533801
0,signal_label3,4mer,RF,0.5451686741632962
0,signal_label4,3mer,SVM,0.5689932526028867
0,signal_label4,3mer,LR,0.6912730685017203
0,signal_label4,3mer,RF,0.5554426024397873
0,signal_label4,4mer,SVM,0.5905759864158362
0,signal_label4,4mer,LR,0.7989298002591716
0,signal_label4,4mer,RF,0.5340274364359444
0,signal_label5,3mer,SVM,0.6089097878409698
0,signal_label5,3mer,LR,0.6496924585487609
0,signal_label5,3mer,RF,0.5239124621144589
0,signal_label5,4mer,SVM,0.5649179889463363
0,signal_label5,4mer,LR,0.759671955785345
0,signal_label5,4mer,RF,0.5093376715992155
1,signal_label1,3mer,SVM,0.7113878054472114
1,signal_label1,3mer,LR,0.9466279961329467
1,signal_label1,3mer,RF,0.7786278627862786
1,signal_label1,4mer,SVM,0.754925492549255
1,signal_label1,4mer,LR,1.0
1,signal_label1,4mer,RF,0.8001133446678002
1,signal_label2,3mer,SVM,0.7035843289802723
1,signal_label2,3mer,LR,0.8967490969713809
1,signal_label2,3mer,RF,0.7455682133926091
1,signal_label2,4mer,SVM,0.7058349541539316
1,signal_label2,4mer,LR,0.9734926368435677
1,signal_label2,4mer,RF,0.6076687968880244
1,signal_label3,3mer,SVM,0.6388067693749373
1,signal_label3,3mer,LR,0.7819531677060207
1,signal_label3,3mer,RF,0.5855152333247805
1,signal_label3,4mer,SVM,0.6731221901181406
1,signal_label3,4mer,LR,0.9074342641037941
1,signal_label3,4mer,RF,0.4737558428808889
1,signal_label4,3mer,SVM,0.5781916785206258
1,signal_label4,3mer,LR,0.6802098150782361
1,signal_label4,3mer,RF,0.5881934566145093
1,signal_label4,4mer,SVM,0.5685455192034139
1,signal_label4,4mer,LR,0.8127222617354196
1,signal_label4,4mer,RF,0.5166251778093883
1,signal_label5,3mer,SVM,0.5659876983419505
1,signal_label5,3mer,LR,0.6599215546443216
1,signal_label5,3mer,RF,0.5232661793546087
1,signal_label5,4mer,SVM,0.5830584774469603
1,signal_label5,4mer,LR,0.7450748796576929
1,signal_label5,4mer,RF,0.5258735960064183
2,signal_label1,3mer,SVM,0.7483999288857283
2,signal_label1,3mer,LR,0.949997777679008
2,signal_label1,3mer,RF,0.7734565980710253
2,signal_label1,4mer,SVM,0.7682008089248411
2,signal_label1,4mer,LR,1.0
2,signal_label1,4mer,RF,0.8648939952886795
2,signal_label2,3mer,SVM,0.6721215925394548
2,signal_label2,3mer,LR,0.8857155667144907
2,signal_label2,3mer,RF,0.6878586800573888
2,signal_label2,4mer,SVM,0.6809540889526542
2,signal_label2,4mer,LR,0.9605451936872309
2,signal_label2,4mer,RF,0.5751434720229556
2,signal_label3,3mer,SVM,0.6219528477174868
2,signal_label3,3mer,LR,0.7615293895125669
2,signal_label3,3mer,RF,0.6160115266079952
2,signal_label3,4mer,SVM,0.6772104718566072
2,signal_label3,4mer,LR,0.9158201582127082
2,signal_label3,4mer,RF,0.5527153172598716
2,signal_label4,3mer,SVM,0.5940224159402242
2,signal_label4,3mer,LR,0.6817514677103718
2,signal_label4,3mer,RF,0.5634451165273083
2,signal_label4,4mer,SVM,0.5951120797011208
2,signal_label4,4mer,LR,0.8042608076854652
2,signal_label4,4mer,RF,0.49177192670343356
2,signal_label5,3mer,SVM,0.6009301394096508
2,signal_label5,3mer,LR,0.6383971784287765
2,signal_label5,3mer,RF,0.5542006475372445
2,signal_label5,4mer,SVM,0.5882964874998609
2,signal_label5,4mer,LR,0.7560943045650264
2,signal_label5,4mer,RF,0.5334227127582639
